name,sostav,cal,prot,fat,carb
Гуляш из говядины,"Говядина, лук, морковь, перец болгарский, томатная паста",200,17,10,10
Гуляш из говядины с овощами,"Говядина, лук, морковь, перец болгарский, томатная паста",200,17,10,10
Двойной эспрессо,,,,,
Доктор Пеппер,,,,,
Домашняя котлета,"Говядина, куриное бедро, лук, яйцо, хлеб, молоко, панировка",270,16,18,12
Жаркое из курицы,"Бедро куриное, лук, перец болгарский, томатная паста, паприка, картофель, чеснок",,,,
Жасмин,,,,,
Запеченая свекла с сыром фета,"Свекла запеченная, сыр фета, масло растительное, крем бальзамический, руккола, кедровые орехи",200,"3,5",15,14
Запеченая свекла с фетой,"Свекла запеченная, сыр фета, масло растительное, крем бальзамический, руккола, кедровые орехи",200,"3,5",15,14
Запеченная свекла с фетой,"Свекла запеченная, сыр фета, масло растительное, крем бальзамический, руккола, кедровые орехи",200,"3,5",15,14
Запеченный мини картофель,"Картофель бейби, прованские травы, растительное масло",180,"3,5",6,29
Запеченый мини картофель,"Картофель бейби, прованские травы, растительное масло",,,,
Запечёная треска в соусе мисо,"Треска, мисо паста, рисовый уксус, апельсиновый сок",220,25,10,7
Запечённый мини картофель,,180,"3,5",6,29
Имбирный,,,,,
Какао с маршмелоу,,,,,
Каламанси-арбуз,,,,,
Кальмар в азиатском стиле,"Кальмар, масло сливочное, лайм, имбирь, перец чили, кинза, соус рыбный, соус свит-чили",140,16,7,3
Кальмар гриль,"Кальмар, оливковое масло, чеснок, перец чили, сок лайма",120,17,4,2
Кальмары в азиатском стиле,"Кальмар, масло сливочное, лайм, имбирь, перец чили, кинза, соус рыбный, соус свит-чили",140,16,7,3
Кальмары гриль,"Кальмар, оливковое масло, чеснок, перец чили, сок лайма",120,17,4,2
Капучино,,,,,
Картофель гриль,"Картофельные дольки, паприка, прованские травы, растительное масло",420,6,19,54
Картофель жареный,"Картофель, масло растительное",220,"3,5","8,5",33
Картофель запеченный мини,,180,"3,5",6,29
Картофель мини запеченный,"Картофель бейби, прованские травы, растительное масло",180,"3,5",6,29
Картофель мини запечённый,"Картофель бейби, прованские травы, растительное масло",180,"3,5",6,29
Картофель отварной,"Картофель, зелень, масло сливочное",160,3,"3,5",29
Картофель по-деревенски,"Картофельные дольки, прованские травы",420,6,19,54
Картофель фри,,150,"3,5","0,5",33
Картофель фри с пармезаном,,190,"4,5","6,5",29
Картофельное пюре,"Картофель, сливочное масло, сливки",130,"3,5",3,23
Картофельный с грибами,"Картофель, шампиньоны, лук, морковь, куриный бульон, сливки",130,"3,5",7,14
Картофельный с фрикадельками,"Картофель, лук, морковь, куриный бульон, горошек зелёный, фрикадельки (говядина, курица)",100,"1,5",5,13
Каша дня с ягодами,Уточнять у официанта,180,5,4,30
Каша многозлаковая,,400,16,21,37
Каша овсяная,,280,"9,5",14,31
Каша рисовая,,230,9,9,28
Квашеная капуста,"Морковь, капуста белокочанная, сахар, масло растительное",80,2,"5,5",6
Квашенная капуста,"Морковь, капуста белокочанная, сахар, масло растительное",80,2,"5,5",6
Кетчуп,,30,"0,3",0,7
Киноа с овощами,"Цукини, киноа, огурец, помидоры, мята, кинза, лайм, руккола, перец болгарский, оливковое масло",270,7,18,21
Копчёное ребро говяжье,"Соль, перец, копчение на ольховой щепе 20 часов",1990,81,179,12
Котлета домашняя,"Говядина, куриное бедро, лук, яйцо, хлеб, молоко, панировка",270,16,18,12
